time,index,iou
27154.576539993286,0.0,0.912640495792002
18388.057231903076,1.0,0.8976358025699218
20539.702653884888,2.0,0.8929301211718923
16307.573318481445,3.0,0.94148195987829
14554.762363433838,4.0,0.9221083137674253
14396.610498428345,5.0,0.9179132193853764
15602.219581604004,6.0,0.9109280299832864
13114.931344985962,7.0,0.9154778734524268
15649.169206619263,8.0,0.9391051182313817
22408.123254776,9.0,0.89408468669567
13349.583387374878,10.0,0.9117318346558524
13812.323093414307,11.0,0.9319897007901979
13916.531801223755,12.0,0.9033206791539777
13027.921676635742,13.0,0.9201302816618934
13487.979650497437,14.0,0.9364646225908339
12907.074928283691,15.0,0.9038319946452477
13666.136980056763,16.0,0.9253837231562707
18603.63817214966,17.0,0.9215301220462218
17592.336177825928,18.0,0.9029637487933786
13769.920825958252,19.0,0.8921587950332466
13317.99602508545,20.0,0.9028243115904094
13707.19575881958,21.0,0.9248236449683007
13719.106197357178,22.0,0.9065223502951926
15024.798393249512,23.0,0.9273242227012396
14480.31735420227,24.0,0.9272430002043736
13447.830438613892,25.0,0.9213036095929177
13689.62812423706,26.0,0.91065933233737
13058.100938796997,27.0,0.930378341025198
20828.855514526367,28.0,0.9237317102028475
27219.79856491089,29.0,0.9156959316400173
13882.43317604065,30.0,0.9183889471644978
17000.01311302185,31.0,0.9153543307086615
18127.73633003235,32.0,0.9137441525199329
18883.70680809021,33.0,0.901797195517727
15427.240371704102,34.0,0.9172613570527894
15788.952589035034,35.0,0.909605820271901
13530.999183654785,36.0,0.9148183784406122
13671.788692474365,37.0,0.8792010193374307
19306.549072265625,38.0,0.9000448424006596
12925.818920135498,39.0,0.9259624309815218
13193.307638168335,40.0,0.9056309491953056
13180.178165435791,41.0,0.9342095128057
14657.440185546875,42.0,0.9052172191331035
12420.928716659546,43.0,0.9314536059312514
12010.931730270386,44.0,0.9178506362111054
12089.90454673767,45.0,0.9196101183569274
12551.77640914917,46.0,0.9161530317752672
12257.608652114868,47.0,0.8699158219368538
12584.641695022583,48.0,0.926568433351725
13307.241201400757,49.0,0.9251631746788662
13663.199663162231,50.0,0.9240508630170604
13071.441411972046,51.0,0.9024795628020414
15744.51494216919,52.0,0.9283660571806174
13194.215774536133,53.0,0.9355154457538859
12831.740140914917,54.0,0.9148350172999762
12764.13607597351,55.0,0.9215507955857407
13037.59741783142,56.0,0.8384808532148865
14149.664640426636,57.0,0.9155362434426286
14531.705617904663,58.0,0.9030063528587865
12813.697814941406,59.0,0.8996194453082197
12408.09679031372,60.0,0.8863507970427136
12755.726099014282,61.0,0.9287010159651669
13305.496454238892,62.0,0.9001187150837989
12749.435901641846,63.0,0.8538782611605089
13556.483745574951,64.0,0.8487003138468007
13870.063543319702,65.0,0.9298851965574093
14218.314170837402,66.0,0.9089549533218526
12413.632869720459,67.0,0.8845236782038337
14240.314722061157,68.0,0.9132531113492129
12314.117670059204,69.0,0.9332844692881421
12043.229341506958,70.0,0.9233489852215044
14345.021486282349,71.0,0.9231337019133354
14194.01478767395,72.0,0.896637045063111
14435.22834777832,73.0,0.8994282405732069
13229.008197784424,74.0,0.913951489329895
