time,index,iou
516.4780616760254,0.0,0.8767677875052857
45.12429237365723,1.0,0.8597502216397487
25.734663009643555,2.0,0.8838751146515675
24.73592758178711,3.0,0.8565875853103673
26.153564453125,4.0,0.8476443410755257
24.77574348449707,5.0,0.8813739651771431
25.252342224121094,6.0,0.8580757094784607
24.701833724975586,7.0,0.8423832521983414
25.173425674438477,8.0,0.8836630239313875
24.69778060913086,9.0,0.876982168529923
24.939298629760742,10.0,0.8662295324887012
25.927066802978516,11.0,0.8711497787998854
25.147676467895508,12.0,0.871472633975506
25.147438049316406,13.0,0.8662302303945713
25.2077579498291,14.0,0.8784398281763877
24.837255477905273,15.0,0.8797941729748598
25.155305862426758,16.0,0.8714686955594269
24.856090545654297,17.0,0.8593836289920663
25.172710418701172,18.0,0.8580628526542384
24.729490280151367,19.0,0.8738232198722662
24.940967559814453,20.0,0.859620173639233
24.760961532592773,21.0,0.8784244607073068
25.018930435180664,22.0,0.8576579517464463
24.875879287719727,23.0,0.8710061155731553
25.090694427490234,24.0,0.8927648489299348
25.093793869018555,25.0,0.8669533457547228
24.69944953918457,26.0,0.853373863003527
24.66559410095215,27.0,0.8595096496949699
24.99532699584961,28.0,0.8670521451030874
24.903059005737305,29.0,0.8698796906330565
24.628400802612305,30.0,0.7988100886958426
25.017261505126953,31.0,0.8639282235460166
24.611949920654297,32.0,0.8566474497205475
24.913787841796875,33.0,0.8824893619932409
25.94470977783203,34.0,0.8746008567568059
24.89948272705078,35.0,0.8280080213903743
25.360584259033203,36.0,0.8686472488633584
24.965524673461914,37.0,0.8360756430778394
24.828195571899414,38.0,0.856684426157444
24.650096893310547,39.0,0.835128543440886
24.890661239624023,40.0,0.864056390518084
24.999618530273438,41.0,0.8739842804516378
25.866270065307617,42.0,0.8653315042333191
24.837017059326172,43.0,0.8688842086659401
25.026559829711914,44.0,0.8719796459368049
24.634122848510742,45.0,0.854045732337201
25.205373764038086,46.0,0.8637651042869238
24.834156036376953,47.0,0.8666970890997008
24.967193603515625,48.0,0.8457027512515509
24.87325668334961,49.0,0.8417033964220897
26.1685848236084,50.0,0.8571329463728233
24.98769760131836,51.0,0.8818104052637333
24.8720645904541,52.0,0.8706248730620811
24.665117263793945,53.0,0.8645950819968757
24.999141693115234,54.0,0.8696574408043507
24.729251861572266,55.0,0.8606267614047665
24.99842643737793,56.0,0.8872484557260754
24.840593338012695,57.0,0.8516636780235106
25.581836700439453,58.0,0.851892591003318
25.01845359802246,59.0,0.8544877247818948
25.015830993652344,60.0,0.8571492569790213
24.779081344604492,61.0,0.8848713413209626
24.883508682250977,62.0,0.8522246898717976
24.88875389099121,63.0,0.867858986650933
24.799346923828125,64.0,0.8706158942756386
24.956941604614258,65.0,0.8674826850198196
26.13377571105957,66.0,0.8599141215386408
24.89638328552246,67.0,0.8845896409803614
24.626493453979492,68.0,0.8121855025159799
24.895668029785156,69.0,0.8243682030345354
24.869680404663086,70.0,0.8727024141453711
24.892091751098633,71.0,0.8821061297590849
25.090456008911133,72.0,0.8748328557784145
24.726390838623047,73.0,0.8451696909605667
24.939537048339844,74.0,0.8761878431725539
