img_id,latency_ms,num_preds,num_gts,tp,fp,fn,precision,recall,f1,mean_iou
0,555.992841720581,2,2,2,0,0,1.0,1.0,1.0,0.8793920786238981
1,59.882402420043945,2,2,2,0,0,1.0,1.0,1.0,0.9099218779782046
2,59.52024459838867,2,2,2,0,0,1.0,1.0,1.0,0.8885899051509347
3,60.1201057434082,2,2,2,0,0,1.0,1.0,1.0,0.8563274176166252
4,59.62562561035156,2,2,2,0,0,1.0,1.0,1.0,0.9231136758598466
5,61.676025390625,2,2,2,0,0,1.0,1.0,1.0,0.9275808722992114
6,59.64255332946777,2,2,2,0,0,1.0,1.0,1.0,0.9339643579987238
7,62.085866928100586,2,2,2,0,0,1.0,1.0,1.0,0.9135991728662896
8,59.854745864868164,2,2,2,0,0,1.0,1.0,1.0,0.936312827809819
9,61.39731407165527,2,2,2,0,0,1.0,1.0,1.0,0.8885360886492117
10,59.259891510009766,2,2,2,0,0,1.0,1.0,1.0,0.886727920926142
11,59.565067291259766,2,2,2,0,0,1.0,1.0,1.0,0.9030996347451299
12,59.77678298950195,2,2,2,0,0,1.0,1.0,1.0,0.8771263142525749
13,59.80873107910156,2,2,2,0,0,1.0,1.0,1.0,0.8636346069698138
14,59.58104133605957,2,2,2,0,0,1.0,1.0,1.0,0.9284829578712057
15,60.07194519042969,2,2,2,0,0,1.0,1.0,1.0,0.8812943125163972
16,59.29684638977051,2,2,2,0,0,1.0,1.0,1.0,0.917195156667906
17,61.31768226623535,2,2,2,0,0,1.0,1.0,1.0,0.9297775882086761
18,59.47685241699219,2,2,2,0,0,1.0,1.0,1.0,0.92933097505098
19,61.86676025390625,2,2,2,0,0,1.0,1.0,1.0,0.8861144433270955
20,59.59320068359375,2,2,2,0,0,1.0,1.0,1.0,0.9210465009797528
21,59.85450744628906,2,2,2,0,0,1.0,1.0,1.0,0.9107647891444193
22,60.21547317504883,2,2,2,0,0,1.0,1.0,1.0,0.908944833041083
23,60.57548522949219,2,2,2,0,0,1.0,1.0,1.0,0.8923091321730519
24,59.580087661743164,3,2,2,1,0,0.6666666666666666,1.0,0.8,0.9130393801393779
25,60.393333435058594,2,2,2,0,0,1.0,1.0,1.0,0.9016834154446344
26,59.99469757080078,2,2,2,0,0,1.0,1.0,1.0,0.8062050827746889
27,59.95321273803711,2,2,2,0,0,1.0,1.0,1.0,0.8858813846803628
28,60.34278869628906,2,2,2,0,0,1.0,1.0,1.0,0.8766103527070838
29,62.03269958496094,2,2,2,0,0,1.0,1.0,1.0,0.7952817570580766
30,59.7076416015625,2,2,2,0,0,1.0,1.0,1.0,0.8212361126755956
