img_id,latency_ms,num_preds,num_gts,tp,fp,fn,precision,recall,f1,mean_iou
0,521.6341018676758,2,2,2,0,0,1.0,1.0,1.0,0.7866658788288489
1,40.7261848449707,2,2,2,0,0,1.0,1.0,1.0,0.7617909238231297
2,22.790193557739258,2,2,2,0,0,1.0,1.0,1.0,0.9016451994785253
3,21.97885513305664,2,2,2,0,0,1.0,1.0,1.0,0.8373289376631847
4,22.702693939208984,2,2,2,0,0,1.0,1.0,1.0,0.9075356110127484
5,21.273136138916016,2,2,2,0,0,1.0,1.0,1.0,0.9114347299630965
6,22.287607192993164,3,2,2,1,0,0.6666666666666666,1.0,0.8,0.7624082757330478
7,21.34990692138672,2,2,2,0,0,1.0,1.0,1.0,0.8642830242827924
8,22.40896224975586,2,2,2,0,0,1.0,1.0,1.0,0.9282331903029739
9,21.183490753173828,2,2,2,0,0,1.0,1.0,1.0,0.8795112401095144
10,22.349119186401367,2,2,2,0,0,1.0,1.0,1.0,0.85841719424176
11,21.25072479248047,2,2,2,0,0,1.0,1.0,1.0,0.8988101675577644
12,22.48096466064453,2,2,2,0,0,1.0,1.0,1.0,0.8144464868283263
13,22.487878799438477,2,2,2,0,0,1.0,1.0,1.0,0.8698240185009348
14,22.013187408447266,2,2,2,0,0,1.0,1.0,1.0,0.9251832727446503
15,22.14670181274414,2,2,2,0,0,1.0,1.0,1.0,0.8695774555296059
16,22.54199981689453,1,2,0,1,2,0.0,0.0,0.0,0.0
17,25.523900985717773,2,2,2,0,0,1.0,1.0,1.0,0.9230264265066562
18,23.484230041503906,2,2,2,0,0,1.0,1.0,1.0,0.8965328596605869
19,21.370410919189453,2,2,2,0,0,1.0,1.0,1.0,0.8875379464898531
20,22.67169952392578,2,2,2,0,0,1.0,1.0,1.0,0.8705332373113871
21,21.268367767333984,2,2,2,0,0,1.0,1.0,1.0,0.8425178426188527
22,23.490428924560547,2,2,2,0,0,1.0,1.0,1.0,0.8377435506968722
23,22.386789321899414,3,2,1,2,1,0.3333333333333333,0.5,0.4,0.8396629582850321
24,22.541522979736328,2,2,2,0,0,1.0,1.0,1.0,0.9090479002109115
25,21.797657012939453,2,2,2,0,0,1.0,1.0,1.0,0.9137154594709171
26,22.550582885742188,2,2,2,0,0,1.0,1.0,1.0,0.802695431042879
27,21.467924118041992,2,2,2,0,0,1.0,1.0,1.0,0.8462938859691591
28,23.716211318969727,2,2,2,0,0,1.0,1.0,1.0,0.8898299814906008
29,22.25351333618164,2,2,2,0,0,1.0,1.0,1.0,0.9347595615374681
30,22.531986236572266,2,2,2,0,0,1.0,1.0,1.0,0.9128529058654401
31,22.080183029174805,2,2,2,0,0,1.0,1.0,1.0,0.8296874806868304
32,21.537303924560547,2,2,2,0,0,1.0,1.0,1.0,0.8872631357135855
33,21.538734436035156,2,2,2,0,0,1.0,1.0,1.0,0.8525667034608826
