time,index,iou,dice,sensitivity,specificity
520.5941200256348,0.0,0.9262254809327639,0.9616999568339677,0.9880460418892495,0.9930247892795372
133.84175300598145,1.0,0.9135671560630778,0.9548315596538839,0.9680774438906335,0.993421561143058
135.7722282409668,2.0,0.8935422501717487,0.943778518900967,0.9522249650369341,0.9925724628065836
140.2602195739746,3.0,0.9110371709746266,0.9534478814035823,0.9685803650917456,0.9913014607513272
138.75579833984375,4.0,0.9372457568829876,0.9676064624769222,0.9933696210616938,0.9904647877047169
139.47224617004395,5.0,0.889811825840485,0.9416935735860847,0.9575108023383886,0.9924708012979064
139.2199993133545,6.0,0.9112739500063444,0.9535775339828385,0.9616215040085695,0.9928940610193718
139.16540145874023,7.0,0.9033061291233704,0.9491968898764777,0.9439365577450348,0.9937042645970067
134.20391082763672,8.0,0.8978373944163489,0.9461689363460616,0.957921768151347,0.9926339425134156
139.3752098083496,9.0,0.9166099129776769,0.9564908401768794,0.9708418825339831,0.9920091620769683
135.68115234375,10.0,0.9024793819134106,0.9487402496901131,0.9436221588006511,0.9925778724565102
139.71781730651855,11.0,0.8789028953502638,0.9355490350515632,0.9155630461523715,0.994344702409187
134.23466682434082,12.0,0.9105277726517808,0.9531688423330098,0.9686009304882118,0.9931361136755911
140.99979400634766,13.0,0.8984869269670973,0.9465294853543851,0.9566263134183028,0.9902245767642416
131.37316703796387,14.0,0.9256468162403653,0.9613879434522672,0.9825340026750508,0.9924194215362991
139.63651657104492,15.0,0.9212785447352848,0.959026526642673,0.9821286598223237,0.9918069163647278
139.5864486694336,16.0,0.9126948231425843,0.954354884113728,0.9640633649551456,0.9919036113035273
139.0514373779297,17.0,0.9083944009537387,0.9519986020706828,0.9771761160834395,0.9909900007470093
139.2502784729004,18.0,0.9331716969038263,0.9654307461653788,0.9842667234955651,0.9918344758053469
139.51778411865234,19.0,0.9297380318861271,0.9635898930565209,0.9736679151815381,0.9931703472786175
134.06753540039062,20.0,0.906711665301023,0.9510737064252193,0.9706876036790314,0.9912966809757916
139.76192474365234,21.0,0.9114144866941635,0.9536544721605373,0.9639586476836428,0.9915622792997063
138.92340660095215,22.0,0.9243393311590904,0.9606822624181689,0.9804084540489195,0.9916909371252356
139.12129402160645,23.0,0.9085291234238193,0.9520725801594865,0.9558889434260227,0.9919295065302935
139.09149169921875,24.0,0.9118493534230163,0.9538924725323379,0.9601579694345599,0.9914403611288044
139.06455039978027,25.0,0.9090556863936793,0.9523616234693918,0.9598982816987277,0.9924538757768546
139.08839225769043,26.0,0.9295128811644774,0.963468956582978,0.9761228037207554,0.9902776765707831
139.37020301818848,27.0,0.8889670390290995,0.9412202761208741,0.9242162464423718,0.9939158738382575
139.6653652191162,28.0,0.8475182590550008,0.9174667204517951,0.9677657270913509,0.984084962224987
139.27006721496582,29.0,0.873811127009511,0.9326565675848671,0.9090451381288035,0.99393766524415
139.38140869140625,30.0,0.904611643727552,0.9499171620699737,0.9767709867821103,0.9916103403609029
143.16153526306152,31.0,0.9059813964441304,0.9506718146718147,0.9738537964203221,0.9925526572114876
138.91196250915527,32.0,0.9282679818350505,0.9627997670237282,0.976015842746076,0.9923122963794456
139.1897201538086,33.0,0.9099502346619829,0.9528522975605415,0.978830819239169,0.9921568709998937
139.329195022583,34.0,0.9207789333923434,0.9587557603686636,0.9618389116645251,0.992724259530621
138.8247013092041,35.0,0.8937103336045565,0.9438722678388052,0.9612143275954108,0.9907621370705775
135.84041595458984,36.0,0.904577659770833,0.949898425123474,0.9551427650467388,0.9918518316169038
128.6001205444336,37.0,0.8776898862488666,0.9348613875769033,0.9428311225499901,0.9898384583774711
141.1266326904297,38.0,0.9153661934352841,0.9558132503044121,0.9709608328213983,0.9921173816260432
134.5043182373047,39.0,0.8995633811875174,0.9471264713738089,0.9500750949063766,0.991878411967553
133.6064338684082,40.0,0.9110976837865056,0.9534810193284573,0.9586010476884738,0.9933903000423382
138.59987258911133,41.0,0.9265750008658609,0.9618883256031352,0.9818425374572213,0.9930809878829483
139.2662525177002,42.0,0.8953378427522002,0.9447791549944357,0.9563475963986983,0.9915366628463359
139.84251022338867,43.0,0.9071982058877676,0.9513412954008968,0.9609629839739044,0.9928550055569805
136.05833053588867,44.0,0.878530059966173,0.9353377714722253,0.9573196613274356,0.9916281737135707
134.13548469543457,45.0,0.9173422108304453,0.9568893916262587,0.9648805155856172,0.9929625521553199
138.58532905578613,46.0,0.9041040613354222,0.9496372385250194,0.9732968773956151,0.9903508903813895
134.002685546875,47.0,0.9308123450293796,0.9641665565539113,0.9908089483332202,0.991839861444178
128.8759708404541,48.0,0.9290736558152898,0.963232951748162,0.9925735187537836,0.9913926122068994
138.96775245666504,49.0,0.884035716316897,0.9384489993057022,0.9414085481917287,0.9919603085115049
140.6862735748291,50.0,0.9243534122069595,0.9606898674052369,0.9736917047504102,0.9912639524844244
129.17590141296387,51.0,0.92374510501958,0.9603612272845035,0.9880352005415468,0.9911596782445324
