img_id,latency_ms,num_preds,num_gts,tp,fp,fn,precision_box,recall_box,f1_box,sensitivity_box,specificity_box,mean_iou_box,mean_dice_box,tp_pixels,fp_pixels,fn_pixels,tn_pixels,sensitivity_pixel,specificity_pixel,precision_pixel,dice_pixel,iou_pixel,accuracy_pixel
1,496.3686466217041,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9495163541578135,0.9740767661885574,572656,9710,15061,451149,0.9743737206852958,0.9789306490705401,0.9833266365138075,0.9788297069524128,0.9585371936655023,0.9763765335083008
2,442.49939918518066,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0,0.9626284870385738,0.980958437519769,441936,8358,8799,589483,0.9804785516988919,0.9860196941996283,0.9814387933216965,0.9809584375197691,0.9626284870385738,0.983637809753418
3,449.53417778015137,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9487669152881228,0.9736781960723476,572658,10014,14730,451174,0.9749228789147889,0.9782865122249494,0.9828136584562155,0.9788523665453054,0.9585806542328281,0.9764022827148438
4,445.2173709869385,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9470496281449491,0.9727651469188392,569950,9970,14998,453658,0.9743601140614209,0.9784956905104955,0.9828079735135881,0.9785658117486273,0.9580311908531932,0.9761886596679688
5,443.72081756591797,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9476700303994345,0.9730710969450737,563524,8877,16095,460080,0.9722317591383305,0.9810707591527581,0.9844916413493338,0.9783232929983855,0.9575664065686088,0.9761848449707031
6,449.80716705322266,3,3,3,0,0,1.0,1.0,1.0,1.0,1.0,0.8708413325532343,0.9295427990911419,603667,496,62627,381786,0.9060069578894602,0.9987025284999033,0.999179029500317,0.9503147292667127,0.9053330133925224,0.9398012161254883
7,444.80371475219727,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9335335363057813,0.9656092895556717,314133,2502,18853,713088,0.9433820040482183,0.9965035844547856,0.9920981571841395,0.9671269863505029,0.9363464565051507,0.9796342849731445
8,443.5093402862549,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8744932463544051,0.9329926874500494,190412,13602,13579,830983,0.9334333377452927,0.9838950490477572,0.9333281049339751,0.9333807183735493,0.8750832977163787,0.9740781784057617
9,445.178747177124,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9363510689477217,0.9671150527782792,313867,1998,18342,714369,0.9447877691453271,0.9972109268014858,0.9936745128456778,0.9686146952354207,0.9391395153303193,0.9806022644042969
10,444.4868564605713,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9289079384463754,0.9630953161666116,313314,3436,18747,713079,0.9435435055607253,0.9952045665478043,0.9891523283346487,0.9658097658640189,0.9338801837274253,0.9788446426391602
11,443.82596015930176,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9208507402511076,0.9587552557768835,311945,4305,20884,711442,0.937253063885659,0.9939853048633106,0.9863873517786561,0.9611927053563588,0.9252849015524984,0.975977897644043
12,443.4676170349121,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9266688735002994,0.9619344693621801,312942,4558,19654,711422,0.9409072869186641,0.993633900388279,0.985644094488189,0.9627562698432232,0.9281871192392794,0.9769096374511719
13,445.4176425933838,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9239337203196548,0.9604316308494028,312380,4310,19952,711934,0.9399636508070243,0.993982497584622,0.9863904764912059,0.962617600019722,0.9279293730431735,0.9768619537353516
14,443.7434673309326,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9198859309558284,0.9582381380261149,312878,4754,20985,709959,0.9371448767907794,0.9933483789996824,0.98503299415676,0.9604924059279043,0.9239878682995833,0.9754533767700195
15,444.4851875305176,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9405600991642988,0.9693585678942722,314199,2997,16002,715378,0.9515386083022159,0.9958280842178527,0.9905515832482125,0.970653246771301,0.9429798498190265,0.9818811416625977
16,443.5393810272217,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9274797453008414,0.9623415377375844,312931,2993,19954,712698,0.9400573771722968,0.9958180276124752,0.9905262025043998,0.9646321182351046,0.9316805506761383,0.9781160354614258
17,443.12262535095215,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.923540405124456,0.9602138988289279,313678,2993,21401,710504,0.9361314794421614,0.9958051680665791,0.9905485503882578,0.9625715381664749,0.9278437729241108,0.9767360687255859
18,443.3257579803467,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9258641359692845,0.9614320169906954,315243,2506,20492,710335,0.9389637660654981,0.9964844895285204,0.992113271796292,0.9648070955065464,0.932007060054813,0.9780673980712891
19,442.9197311401367,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9243635808003886,0.9606776110866919,313554,2502,22032,710488,0.9343476783894441,0.9964908343735537,0.9920836813729212,0.9623504930621415,0.9274330943423014,0.9766025543212891
20,442.1119689941406,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9266097415438312,0.9618577962949406,312380,2990,19952,713254,0.9399636508070243,0.9958254449600974,0.9905190728350826,0.9645793899046167,0.9315821807098849,0.9781208038330078
21,442.7921772003174,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9226929329054675,0.9597448214631151,311997,2988,21369,712222,0.9358992818703767,0.9958222060653514,0.9905138339920949,0.9624323861611997,0.9275852227117858,0.976771354675293
22,443.5467720031738,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9205979453666756,0.9586029546132153,312380,2990,22045,711161,0.9340808851012933,0.9958132103714761,0.9905190728350826,0.9614724643926161,0.9258035357052887,0.9761247634887695
23,443.3295726776123,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9257102999127969,0.9614008161627794,312328,3867,20004,712377,0.9398071807710362,0.9946010018932095,0.9877702050949573,0.9631919719610749,0.9289974092724844,0.9772348403930664
24,442.66557693481445,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9250631959556456,0.9610260560776164,312309,2983,20565,712719,0.9382198669766939,0.9958320641831376,0.9905389289928067,0.963669800637491,0.9298868268340394,0.9775428771972656
25,443.0422782897949,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9178778816973547,0.9571300727186751,314000,3250,22964,708362,0.9318502866775086,0.9954329044479295,0.9897557131599685,0.9599305426053248,0.9229484971223995,0.9750003814697266
26,442.8987503051758,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9306757419685363,0.9640799778531032,314196,2498,19951,711931,0.940292745408458,0.9965035013976197,0.9921122597838924,0.9655077046467571,0.933315510404135,0.9785909652709961
